W1,W4,W5A,W5B,W5C,W5D,W5E,W5F,W5G,W6,W7A,MH2A,MH2B,MH3B,wbi,Age,age_mh,Gender,Education,Household_Income,Subjective_Income,MH1,MH4B,MH5,age_var1,MH6,MH7C,MH9A,MH9B,MH9C,MH9D,MH9E,MH9F,MH9G,MH9H,Global11Regions_1,Global11Regions_2,Global11Regions_3,Global11Regions_4,Global11Regions_5,Global11Regions_6,Global11Regions_7,Global11Regions_8,Global11Regions_9,Global11Regions_10,Global11Regions_11,EMP_2010_1,EMP_2010_2,EMP_2010_3,EMP_2010_4,EMP_2010_5,EMP_2010_6,EMP_2010_ ,EMP_2010_1,EMP_2010_2,EMP_2010_3,EMP_2010_4,EMP_2010_5,EMP_2010_6,W10_1,W10_2,W10_3,W10_99,W11A_1,W11A_2,W11A_3,W11A_4,W11A_99
1,1,2,2,0,1,1,1,1,0,0,0,1,1,3,0.611764705882353,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,0,0,2,0,0,0,1,0,3,0.047058823529411764,1,1,1,1,1,1,1,1,0,1,1,0,99,1,0,99,1,99,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,2,0,0,1,0,1,0,0,0,0,1,3,0.5294117647058822,0,1,2,0,2,1,0,1,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,0.15294117647058825,2,2,1,0,0,1,1,1,0,1,2,99,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,2,0,0,0,1,2,0,0,0,0,0,3,0.09411764705882353,1,2,1,1,1,1,0,1,0,1,1,1,2,1,0,99,99,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,0,0,0,0,1,0,0,1,0,0,0,1,1,3,0.4352941176470589,1,1,1,0,1,0,0,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,0,0,0,0,1,1,1,1,1,1,2,2,1,3,0.1647058823529412,2,2,1,2,0,1,0,1,0,1,1,99,99,99,99,99,99,99,99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,1,3,0,1,0,1,1,0,0,1,3,0.35294117647058826,4,2,1,4,0,1,0,1,1,1,2,99,0,0,99,0,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,2,0,1,0,1,1,0,1,0,1,1,3,0.5058823529411764,4,2,2,2,0,1,1,1,2,1,2,0,1,1,99,0,99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,3,0,1,1,1,1,0,0,0,1,2,3,0.6352941176470588,4,2,2,4,0,1,0,2,2,1,1,0,2,1,1,0,99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,1,1,1,0,1,1,0,3,1,0,1,3,0.6000000000000001,3,2,1,1,2,1,0,2,2,1,1,1,1,1,1,99,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,2,1,1,3,2,1,2,0,1,0,0,1,3,0.2,1,1,2,4,0,1,0,2,1,1,1,99,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,1,3,1,2,0,1,1,1,0,0,2,1,3,0.6352941176470588,4,1,2,4,1,1,0,2,2,1,1,2,99,1,2,1,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,0,1,3,1,3,1,1,2,0,2,0,1,2,3,0.047058823529411764,1,1,1,3,0,1,0,1,0,1,1,0,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,2,2,0,1,0,1,1,0,0,0,1,1,3,0.5058823529411764,4,1,1,2,1,1,0,2,2,1,1,1,99,0,1,0,99,99,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,1,2,3,0,1,1,0,1,0,0,1,0,2,3,0.7529411764705882,4,2,1,3,0,1,0,2,2,1,2,99,1,0,0,99,0,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,2,1,3,0,3,1,0,3,0,1,1,1,0,3,0.22352941176470592,2,1,1,1,1,1,1,2,1,2,1,0,99,99,0,0,99,99,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,1,1,0,0,0,1,1,3,0.29411764705882354,1,2,2,4,0,1,1,1,1,1,1,1,99,1,1,1,99,99,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,2,0,0,1,0,1,0,0,0,0,0,3,0.31764705882352945,4,2,1,3,3,0,0,2,1,1,1,0,0,0,99,0,99,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,1,3,3,1,2,2,1,2,1,0,0,1,3,3,0.047058823529411764,1,2,1,0,1,0,0,1,0,1,1,1,99,1,99,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,1,2,2,1,1,1,1,2,1,1,1,1,3,3,0.35294117647058826,0,2,1,0,3,1,0,2,1,1,1,1,99,99,1,99,2,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,2,2,0,0,1,3,0,0,0,1,1,3,0.588235294117647,1,1,1,3,1,1,1,1,2,1,1,2,99,99,99,1,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,3,2,3,2,2,3,0,1,0,2,2,3,0.15294117647058825,1,1,1,1,1,0,3,2,0,1,1,1,99,99,2,2,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,2,0,0,1,0,1,0,0,0,1,1,3,0.5529411764705883,3,1,1,3,0,1,0,2,2,2,1,1,0,2,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,3,0,1,0,1,3,0,0,0,2,2,3,0.7647058823529411,3,2,1,3,0,1,0,1,2,1,1,1,99,99,1,2,99,99,99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,1,2,3,0,1,0,1,0,0,0,0,0,1,3,0.7529411764705882,3,2,2,3,1,1,0,1,2,1,1,0,0,2,1,1,0,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,1,0,3,0,1,0,0,3,0,0,0,1,1,3,0.36470588235294116,0,2,2,1,3,0,0,1,1,1,1,0,99,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,2,0,0,1,1,2,0,0,0,0,0,3,0.10588235294117648,1,2,2,2,0,1,0,2,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,1,0,1,1,3,1,1,1,1,1,0,1,1,3,0.15294117647058825,2,2,2,2,0,1,2,2,0,1,2,99,0,0,99,1,99,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,0,2,0,1,0,0,0,0,0,0,0,0,3,0.6588235294117648,2,2,2,1,1,1,0,0,2,1,1,0,1,1,1,1,99,99,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,2,0,0,0,1,1,0,0,0,0,1,3,0.6705882352941177,4,2,2,4,0,1,0,1,2,1,2,1,99,1,1,1,99,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,2,3,1,1,1,1,1,0,0,1,0,2,3,0.1294117647058824,1,2,1,1,2,1,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,3,1,1,1,1,1,1,1,0,0,1,3,0.29411764705882354,0,2,2,3,0,1,1,2,1,1,1,0,1,1,0,0,2,2,99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,3,1,1,2,1,2,0,0,0,1,2,3,0.4941176470588235,3,2,2,1,1,1,1,2,2,1,2,2,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,2,0,1,0,1,3,0,0,0,1,1,3,0.09411764705882353,1,1,1,3,0,1,0,1,0,1,1,0,99,0,0,1,99,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,1,1,3,0,1,1,1,1,1,1,3,3,0.411764705882353,2,2,1,0,1,1,0,0,2,1,1,99,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,0,1,3,0,1,0,1,3,0,0,0,0,1,3,0.6941176470588235,4,2,1,4,1,1,0,1,2,1,2,1,99,0,0,99,0,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3,1,3,1,2,1,2,3,1,3,1,0,1,2,3,0.5058823529411764,4,1,1,0,2,2,1,2,2,1,1,0,99,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,2,0,0,1,0,1,1,0,0,0,0,3,0.011764705882352955,0,2,1,1,0,0,0,2,0,1,1,0,1,0,1,99,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,2,0,1,0,0,2,0,0,0,2,1,3,0.6352941176470588,3,2,2,3,1,1,0,1,2,2,1,0,0,99,0,0,99,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,2,2,2,2,1,2,1,1,1,0,1,1,3,0.10588235294117648,2,1,1,1,2,0,0,2,0,2,1,99,99,0,99,1,0,0,99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,2,0,1,1,0,0,0,1,1,3,0.39999999999999997,4,1,1,3,0,1,0,1,1,1,2,99,0,0,99,1,99,99,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,2,2,0,1,0,1,1,0,0,0,0,1,3,0.11764705882352944,1,1,1,2,0,1,2,1,0,2,1,1,99,1,99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,2,1,3,2,2,1,3,2,2,2,2,2,3,3,0.7294117647058824,2,1,1,2,2,1,2,1,2,2,1,99,99,99,99,99,99,99,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,1,2,0,1,0,1,1,0,0,0,0,1,3,0.21176470588235297,2,1,1,4,0,1,0,1,1,1,1,1,99,1,1,1,99,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,2,1,1,3,1,2,1,1,1,1,1,3,3,0.4588235294117647,2,1,1,3,1,1,0,2,2,1,1,99,99,1,99,99,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,2,1,1,1,1,1,0,1,0,0,1,3,0.2,1,2,2,3,0,1,1,1,1,1,1,1,99,0,2,1,2,99,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,3,1,3,3,3,3,2,1,0,3,2,2,2,3,0.4352941176470589,3,1,1,2,0,1,2,0,2,2,2,99,2,99,2,1,99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,2,1,2,0,1,2,1,1,0,1,2,3,0.611764705882353,4,1,2,4,0,1,1,2,2,1,2,0,0,1,99,99,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,1,1,3,1,1,1,1,1,0,1,0,1,1,3,0.1764705882352941,2,2,1,0,3,1,0,1,1,1,1,2,99,99,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,1,0,0,0,0,2,0,0,0,0,1,3,0.08235294117647057,1,2,2,3,0,1,0,1,0,1,1,0,99,1,99,1,99,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,1,1,3,0,0,1,1,3,1,0,1,2,2,3,0.6588235294117648,4,2,1,4,1,1,0,1,2,2,1,99,99,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,1,1,2,0,2,2,1,1,1,1,2,3,0.7411764705882353,4,2,1,2,1,1,1,2,2,1,2,99,99,0,1,99,99,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,2,1,3,0,1,1,1,1,0,0,0,3,0.4588235294117647,3,2,1,3,1,1,0,1,2,1,2,0,99,0,0,0,99,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,2,0,0,0,0,1,0,0,0,0,0,3,0.25882352941176473,2,2,2,3,2,0,0,2,1,1,1,1,0,0,1,0,0,0,99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,1,1,2,1,2,1,1,1,0,2,1,1,1,3,0.6941176470588235,4,2,1,2,3,1,0,1,2,1,1,99,99,1,99,1,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,1,1,0,1,0,1,1,0,1,0,1,1,3,0.5411764705882354,3,2,1,0,3,1,1,0,2,1,2,0,1,2,99,99,99,2,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,2,1,2,1,0,2,0,0,0,1,1,3,0.37647058823529417,2,2,2,2,2,1,0,2,1,1,1,0,99,1,0,1,1,0,99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,2,2,1,1,1,1,1,1,1,2,1,1,3,0.1764705882352941,2,1,1,0,1,1,0,2,1,1,1,99,2,1,99,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,1,1,3,0,0,0,1,3,0,1,0,1,1,3,0.8,4,2,1,2,1,1,0,1,2,1,1,99,99,1,99,0,2,99,99,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,3,0,1,0,0,2,0,0,0,0,0,3,0.6000000000000001,4,2,2,4,0,1,0,1,2,1,2,1,1,0,0,0,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,1,1,0,0,0,1,1,0,0,1,0,3,0.5529411764705883,3,1,1,1,3,0,1,1,2,2,1,1,99,1,0,99,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,3,0,0,0,0,1,0,0,0,1,1,3,0.5411764705882354,4,2,2,2,0,1,0,1,2,2,2,0,0,0,0,99,99,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,2,1,3,0,2,1,1,0,0,0,0,0,3,3,0.3058823529411765,4,1,1,3,1,1,0,2,1,2,1,99,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,2,1,0,1,0,0,2,1,1,0,0,2,3,0.03529411764705884,0,2,1,0,0,1,2,2,0,1,1,0,0,1,99,0,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,2,0,1,1,1,1,0,0,0,1,0,3,0.611764705882353,4,2,2,2,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,1,3,1.0,3,2,1,2,1,1,0,2,1,1,1,0,0,99,0,0,99,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3,0,3,2,1,2,2,2,2,1,1,1,1,3,0.09411764705882353,1,2,2,3,2,1,0,2,0,1,1,0,1,2,99,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,1,1,1,1,1,3,2,1,1,1,1,1,3,0.4235294117647059,3,1,1,0,3,0,0,1,2,1,1,99,99,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,3,0,0,1,0,1,0,0,1,1,2,3,0.23529411764705882,1,2,1,0,2,1,0,1,1,1,1,0,99,1,0,1,1,99,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,2,2,3,1,1,1,1,2,0,2,1,3,0.29411764705882354,1,2,2,1,0,1,1,1,1,1,1,1,99,99,1,1,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,1,1,2,2,2,0,2,1,1,0,0,2,3,0.2823529411764706,1,2,1,1,1,1,1,1,1,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3,1,1,2,3,2,3,3,1,3,1,1,1,3,0.6235294117647059,4,1,1,2,3,1,0,2,2,1,1,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,0,1,3,0,1,1,2,1,1,1,1,3,0.09411764705882353,1,1,2,2,0,1,3,1,0,1,1,99,1,0,99,0,2,99,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,2,2,1,3,1,1,1,1,0,0,0,2,3,0.23529411764705882,1,2,1,0,3,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,2,0,1,0,0,3,0,0,0,0,0,3,0.8117647058823529,4,2,2,2,0,1,0,1,2,2,1,99,1,0,99,0,99,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,1,0,2,1,1,1,0,0,0,1,1,3,0.6000000000000001,4,1,1,2,0,0,0,2,2,1,1,2,1,2,0,99,2,99,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,2,1,2,1,1,1,1,3,0,0,0,1,1,3,0.35294117647058826,1,1,1,2,0,1,0,1,1,1,1,1,99,99,99,99,99,99,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,1,0,2,0,1,0,1,3,0,0,0,1,1,3,0.18823529411764706,2,1,2,4,0,0,0,1,1,1,1,0,99,0,0,1,99,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0.29411764705882354,3,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,0,0,1,3,2,0,1,1,2,3,3,3,3,0.6823529411764706,4,2,1,3,0,0,0,2,2,1,1,99,1,99,0,99,1,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,1,1,1,1,1,1,1,1,1,0,0,0,1,3,0.23529411764705882,3,1,1,1,3,0,0,1,1,2,1,99,1,1,99,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
